id	ko_name
312	부적 =/무지개
313	막대 =/정령
314	부활
315	통 =/악명
316	약한 치유
317	중간 치유
318	강한 치유
319	중간/지구력
320	강한/지구력
321	치료/경증
322	치료/독
323	치료/마비
324	치료/석화
325	치료/질병
326	초인
327	체리/폭탄
328	화염/폭탄
329	독/폭탄
330	산성 폭탄
331	악취/폭탄
332	성수
333	투명/물약
334	마법/방벽
335	마법/미사일
336	공포
337	퇴치/언데드
338	둔화
339	노크/노크
340	속박/괴물
341	휘몰이/바위
342	미사일/방호
343	장갑판
344	마법/검날
345	가속
346	화염구
347	점멸
348	환영
349	소환
350	공중부양
351	언데드 번개
352	부활
353	갑옷용해
354	분쇄
355	혼란
356	마법사/눈
357	저주/해제
358	완전휴식
359	완전치유
360	칼날
361	탐지/물체
362	탐지/인물
363	책 =/방호
364	책 =/대기
365	책 =/휴식
366	책 =/방벽
367	책 =/노크
368	책 =/방향
369	책 =/탐지
370	책 =/가속
371	책 =/경계종
372	책 =/축복
373	책 =/매혹
374	책 =/부양
375	책 =/화염벽
376	책 =/투시
377	책 =/저주해제
378	책 =/추방
379	책 =/항마
380	책 =/얼음벽
381	해골/가루
382	활석 =/타마리스
383	가루 =/창조
384	페어리/가루
385	재채기/가루
386	섬광/가루
387	뱀/가루
388	뼈/가루
389	으깬/위도우
390	덩고어/맥주
391	빵/롤
392	황금/사과
393	송이 =/바나나
394	모저/모조차
395	병 =/올드잭
396	우유 =/마그마나시아
397	페어리/막대
398	비단/가운 (상)
399	비단/가운 (하)
400	*사원*
401	*배*
402	*뱀*
403	*용*
404	*스핑크스*
405	*묘실*
406	*전설*
407	*수정*
408	*별*
409	*구체*
410	*바보들*
411	여정/지도세트
412	책 =/유물
413	필처/밴드
414	플린/모자
415	염소발/장화
416	노크/픽
417	
418	
419	봉 =/코르푸스
420	여관 열쇠
421	양피지
422	해골/뼈
423	검은/웨이퍼
424	감옥 열쇠
425	편지 =/보어리가드
426	철 열쇠
427	주석 열쇠
428	구리/동전
429	수수께끼/에그
430	죽은자/머리칼
431	옛도시/통행증
432	책 =/우화
433	제어/카드
434	
435	열쇠 =/고른 왕
436	무기고 열쇠
437	왕관 열쇠
438	열쇠 =/청색
439	반지 =/강철열쇠
440	무르카토스/유언
441	분재/나무
442	뼈빗/& 브러시
443	광택/강철판
444	보석 =/힘
445	소금/몽크고기
446	몽크/내장
447	우물/동전
448	콩 =/펜타클
449	콩 =/완드
450	콩 =/검
451	콩 =/잔
452	다이아/동전
453	호박/동전
454	루비/동전
455	에메랄드/동전
456	월장석
457	흡연/파이프
458	신비/파스틸
459	파이프 &/?파스틸
460	케이블/트롤리
461	쪽지 =/젠 젱
462	손가락/막대
463	긴자루/삽
464	TYDNAB/EMYT
465	크룩스 =/건넘
466	손가락/막대
467	손가락/막대
468	열/파인애플
469	신비/광선
470	이미/발
471	트랭/포트북
472	TX-코더
473	붉은고무/공
474	황동 열쇠
475	은 열쇠
476	인장/반지
477	깃털/추
478	반지 =/반사
479	나무/봉
480	검은/피라미드
481	자석석
482	고무/밴드
483	녹슨/열쇠
484	실패/손잡이
485	색칠/공
486	검은/공
487	막대_&_밧줄
488	덩굴/250피트
489	덩굴/500피트
490	덩굴/750피트
491	덩굴/1000피트
492	사령/투구
493	황금/이빨
494	황금/귀
495	황금/코
496	황금/눈
497	엘리시아드 =/신성
498	마제스틱/완드
499	붉은/로시스
500	보라/플루맥
501	흰/달리아
502	노랑/리오네
503	파랑/미시아
504	홈/자루
505	녹슨/열쇠들
506	몽크 열쇠
507	열쇠 =/선한요새
508	오닉스/열쇠
509	열쇠 =/사원
510	성스런/성약
511	위쿰/파워장갑
512	연습/표적
513	험파 카드
514	I.U.F.#1/명령
515	I.U.F.#2/명령
516	I.U.F.#3/명령
517	I.U.F.#4/명령
518	I.U.F.#5/명령
519	I.U.F.#6/명령
520	야모/전문
521	종가/가루
522	황금/우상
523	열쇠 =/짐승
524	열쇠 =/돌
525	궤짝 열쇠
526	궤짝 열쇠
527	궤짝 열쇠
528	궤짝 열쇠
529	궤짝 열쇠
530	열쇠 =/승천
531	크롬 열쇠
532	뿔 =/악마
533	반지 =/악마
534	재 =/디암
535	돌 =/관문
536	책 =/불멸자
537	보석 =/태양
538	뱀의/고리
539	크레딧/카드
540	창고/열쇠
541	열쇠 =/빛
542	헬라조이드/깃발
543	반지 =/구체
544	로켓 =/무덤
545	열쇠 = 용/문
546	열쇠 =/무덤
547	열쇠 =/묘실
548	열쇠 =/해골
549	열쇠 =/고르
550	열쇠 =/관문
551	열쇠 =/물
552	비탈리아/장치
553	*아스트랄*/*도미네*
554	통신링크/장치
555	옛도시/열쇠
556	로시스 &/미시아
557	플루맥 &/리오네
558	난초/암브로시아
559	달리아/물
560	뱀속도
561	황금/메달
562	옛관문/열쇠
563	조개껍질
564	점박이/흰공
565	비니
566	옹이진/바퀴
567	우산
568	고무/신발 (1)
569	양피지
570	양피지
