id	ko_specific_singular	ko_specific_plural	ko_generic_singular	ko_generic_plural
149	티쇼버 형제	티쇼버 형제	티쇼버 형제	티쇼버 형제
150	움파니 무장병	움파니 무장병	움파니 무장병	움파니 무장병
151	크보라 트랭	크보라 트랭	크보라 트랭	크보라 트랭
152	움파니 병사	움파니 병사	움파니 병사	움파니 병사
153	발브락 상사	발브락 상사	발브락 상사	발브락 상사
154	그로모 중위	그로모 중위	그로모 중위	그로모 중위
155	영혼 = 데인	영혼 = 데인	영혼 = 데인	영혼 = 데인
156	해골 로드	해골 로드	해골 로드	해골 로드
157	로드=암흑숲	로드=암흑숲	로드=암흑숲	로드=암흑숲
158	광란 몽크	광란 몽크	광란 몽크	광란 몽크
159	나병 거인	나병 거인	나병 거인	나병 거인
160	광란 몽크	광란 몽크	광란 몽크	광란 몽크
161	산악 스락스	산악 스락스	산악 스락스	산악 스락스
162	본헤드	본헤드	본헤드	본헤드
163	브루나츠	브루나츠	브루나츠	브루나츠
164	릴 오고	릴 오고	릴 오고	릴 오고
165	문스타치오	문스타치오	문스타치오	문스타치오
166	그룬가드	그룬가드	그룬가드	그룬가드
167	* 스 팟 *	* 스 팟 *	* 스 팟 *	* 스 팟 *
168	?다크 서번트?	?다크 서번트?	?다크 서번트?	?다크 서번트?
169	?비 도미나?	?비 도미나?	?비 도미나?	?비 도미나?
170	?알레테이데스?	?알레테이데스?	?알레테이데스?	?알레테이데스?
171	?석상?	?석상?	?석상?	?석상?
172	마녀의 빛	마녀의 빛	마녀의 빛	마녀의 빛
173	* 벨 라 *	* 벨 라 *	* 벨 라 *	* 벨 라 *
174	악취 시체	악취 시체	보행 언데드	보행 언데드
175	서번트 제어관	서번트 제어관	서번트 제어관	서번트 제어관
176	돼지 딱정벌레	돼지 딱정벌레	돼지 딱정벌레	돼지 딱정벌레
177	미노스켈	미노스켈	미노스켈	미노스켈
178	유령	유령	유령	유령
179	서번트 광전사	서번트 광전사	서번트 광전사	서번트 광전사
180	앨리푸트	앨리푸트	푸트	푸트
181	서번트 제어관	서번트 제어관	서번트 제어관	서번트 제어관
182	푹식 우즈	푹식 우즈	기는 오물	기는 오물
183	드래곤리자드	드래곤리자드	드래곤리자드	드래곤리자드
184	고른 아시가루	고른 아시가루	고른 아시가루	고른 아시가루
185	고른 창기병	고른 창기병	고른 창기병	고른 창기병
186	그림자 수호자	그림자 수호자	그림자 수호자	그림자 수호자
187	영체 까마귀	영체 까마귀	영체 까마귀	영체 까마귀
188	멧돼지바구미	멧돼지바구미	벌레	벌레
189	꿈의 직조자	꿈의 직조자	꿈의 직조자	꿈의 직조자
190	악몽	악몽	악몽	악몽
191	퓨리	퓨리	퓨리	퓨리
192	돼지 딱정벌레	돼지 딱정벌레	돼지 딱정벌레	돼지 딱정벌레
193	이미	이미	이미	이미
194	빌레트 카네베	빌레트 카네베	빌레트 카네베	빌레트 카네베
195	트랭 현자	트랭 현자	트랭 현자	트랭 현자
196	트랭 감시자	트랭 감시자	트랭 감시자	트랭 감시자
197	트랭 기술자	트랭 기술자	트랭 기술자	트랭 기술자
198	트랭 경비	트랭 경비	트랭 경비	트랭 경비
199	트랭 수호자	트랭 수호자	트랭 수호자	트랭 수호자
200	독수리	독수리	검은 새	검은 새
201	대지 골렘	대지 골렘	골렘	골렘
202	페어리 마녀	페어리 마녀	마녀	마녀
203	서리 거인	서리 거인	거인	거인
204	검은 드래곤	검은 드래곤	검은 드래곤	검은 드래곤
205	피에로	피에로	악마	악마
206	영체 나방	영체 나방	기괴한 나방	기괴한 나방
207	해골	해골	해골	해골
208	영혼	영혼	영혼	영혼
209	해골 로드	해골 로드	해골 로드	해골 로드
210	독 드래곤	독 드래곤	녹색 드래곤	녹색 드래곤
211	믹슬밍크스	믹슬밍크스	믹슬밍크스	믹슬밍크스
212	굴착 딱정벌레	굴착 딱정벌레	벌레	벌레
213	가스 슬라임	가스 슬라임	기는 오물	기는 오물
214	딩클 위스프	딩클 위스프	부유체	부유체
215	반타리	반타리	쌍두 사자	쌍두 사자
216	블러드웜	블러드웜	거대 곤충	거대 곤충
217	고질리	고질리	고질리	고질리
218	영체 나방	영체 나방	기괴한 나방	기괴한 나방
219	해골	해골	해골	해골
220	페어리 마녀	페어리 마녀	마녀	마녀
221	트릭커트리	트릭커트리	숲사람	숲사람
222	망령	망령	유령 형상	유령 형상
223	판타스마고라	판타스마고라	악마 형상	악마 형상
224	데인 제자	데인 제자	데인	데인
225	다크 서번트	다크 서번트	다크 서번트	다크 서번트
226	트랭 크틀루	트랭 크틀루	트랭 크틀루	트랭 크틀루
227	움파니 S.S.U.F.	움파니 S.S.U.F.	움파니 S.S.U.F.	움파니 S.S.U.F.
228	트랭 암살자	트랭 암살자	트랭	트랭
229	티쇼버 유령	티쇼버 유령	티쇼버 유령	티쇼버 유령
230	사이 비스트	사이 비스트	사이 비스트	사이 비스트
231	대부	대부	대부	대부
232	알마고르테	알마고르테	알마고르테	알마고르테
233	* 스 폰 *	* 스 폰 *	* 스 폰 *	* 스 폰 *
234	드라고라	드라고라	녹색 드래곤	녹색 드래곤
235	에메랄드 드래곤	에메랄드 드래곤	에메랄드 드래곤	에메랄드 드래곤
236	새끼 드래곤	새끼 드래곤	녹색 드래곤	녹색 드래곤
237	드라고네사	드라고네사	드라고네사	드라고네사
238	메타 드로이드	메타 드로이드	살인 기계	살인 기계
239	* 브롬바데그 *	* 브롬바데그 *	* 브롬바데그 *	* 브롬바데그 *
240	유령=고른	유령=고른	유령=고른	유령=고른
241	언고른 다이묘	언고른 다이묘	언고른 다이묘	언고른 다이묘
242	* 파 멸 *	* 파 멸 *	* 파 멸 *	* 파 멸 *
243	다르볼레스	다르볼레스	다르볼레스	다르볼레스
244	호라고스	호라고스	호라고스	호라고스
245	마귀=9세계	마귀=9세계	마귀=9세계	마귀=9세계
246	지옥의 존재	지옥의 존재	지옥의 존재	지옥의 존재
247	괴수=천개의눈	괴수=천개의눈	괴수=천개의눈	괴수=천개의눈
248	라-셉-레-텝	라-셉-레-텝	라-셉-레-텝	라-셉-레-텝
249	코스모봇	코스모봇	코스모봇	코스모봇
